name,id,texture,count,quality,canUse,level,levelColHeader,minBid,minIncrement,buyoutPrice,bidAmount,highBidder,bidderFullName,owner,ownerFullName,saleStatus
Aurora Pants,4044,134581,1,2,true,35,REQ_LEVEL_ABBR,40000,0,50000,0,false,0
Aurora Pants,4044,134581,1,2,true,35,REQ_LEVEL_ABBR,19000,0,28750,0,false,0
Severing Axe of the Bear,4562,135420,1,2,false,5,REQ_LEVEL_ABBR,2850,0,3000,0,false,0
Severing Axe of the Bear,4562,135420,1,2,false,5,REQ_LEVEL_ABBR,2850,0,3000,0,false,0
Portable Bronze Mortar,4403,134535,1,1,false,1,REQ_LEVEL_ABBR,90000,0,90000,0,false,0
Arcane Elixir,9155,134810,2,1,true,37,REQ_LEVEL_ABBR,30000,0,60000,0,false,0
Arcane Elixir,9155,134810,2,1,true,37,REQ_LEVEL_ABBR,30000,0,60000,0,false,0
Arcane Elixir,9155,134810,2,1,true,37,REQ_LEVEL_ABBR,30000,0,60000,0,false,0
Arcane Elixir,9155,134810,2,1,true,37,REQ_LEVEL_ABBR,30000,0,60000,0,false,0
Arcane Elixir,9155,134810,2,1,true,37,REQ_LEVEL_ABBR,30000,0,60000,0,false,0
Arcane Elixir,9155,134810,5,1,true,37,REQ_LEVEL_ABBR,142496,0,149995,0,false,0
Arcane Elixir,9155,134810,5,1,true,37,REQ_LEVEL_ABBR,142496,0,149995,0,false,0
Arcane Elixir,9155,134810,5,1,true,37,REQ_LEVEL_ABBR,142496,0,149995,0,false,0
Arcane Elixir,9155,134810,5,1,true,37,REQ_LEVEL_ABBR,142496,0,149995,0,false,0
Arcane Elixir,9155,134810,5,1,true,37,REQ_LEVEL_ABBR,142496,0,149995,0,false,0
Arcane Elixir,9155,134810,2,1,true,37,REQ_LEVEL_ABBR,29000,0,59000,0,false,0
Arcane Elixir,9155,134810,19,1,true,37,REQ_LEVEL_ABBR,272322,0,286654,0,false,0
Arcane Elixir,9155,134810,8,1,true,37,REQ_LEVEL_ABBR,154800,0,200000,0,false,0
Bandit Jerkin of Stamina,9782,135015,1,2,true,18,REQ_LEVEL_ABBR,28005,0,28005,0,false,0
Schematic: Deepdive Helmet,10607,134939,1,1,false,1,REQ_LEVEL_ABBR,525108,0,525108,0,false,0
Schematic: Deepdive Helmet,10607,134939,1,1,false,1,REQ_LEVEL_ABBR,22500,0,25000,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,166955,0,175742,0,false,0
Flask of Relentless Assault,22854,134740,10,1,false,65,REQ_LEVEL_ABBR,1757410,0,1757410,0,false,0
Flask of Relentless Assault,22854,134740,10,1,false,65,REQ_LEVEL_ABBR,1757410,0,1757410,0,false,0
Flask of Relentless Assault,22854,134740,10,1,false,65,REQ_LEVEL_ABBR,1757410,0,1757410,0,false,0
Flask of Relentless Assault,22854,134740,10,1,false,65,REQ_LEVEL_ABBR,1757410,0,1757410,0,false,0
Flask of Relentless Assault,22854,134740,10,1,false,65,REQ_LEVEL_ABBR,1757410,0,1757410,0,false,0
Flask of Relentless Assault,22854,134740,5,1,false,65,REQ_LEVEL_ABBR,878705,0,878705,0,false,0
Flask of Relentless Assault,22854,134740,5,1,false,65,REQ_LEVEL_ABBR,878705,0,878705,0,false,0
Flask of Relentless Assault,22854,134740,5,1,false,65,REQ_LEVEL_ABBR,878705,0,878705,0,false,0
Flask of Relentless Assault,22854,134740,5,1,false,65,REQ_LEVEL_ABBR,878705,0,878705,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,175741,0,175741,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,175741,0,175741,0,false,0
Flask of Relentless Assault,22854,134740,1,1,false,65,REQ_LEVEL_ABBR,175741,0,175741,0,false,0
Glyph of Challenging Roar,43334,254299,1,1,true,28,REQ_LEVEL_ABBR,10000,0,21000,0,false,0
Glyph of Challenging Roar,43334,254299,1,1,true,28,REQ_LEVEL_ABBR,20998,0,20998,0,false,0
Glyph of Challenging Roar,43334,254299,1,1,true,28,REQ_LEVEL_ABBR,20998,0,20998,0,false,0
Glyph of Challenging Roar,43334,254299,1,1,true,28,REQ_LEVEL_ABBR,20998,0,20998,0,false,0
Glyph of Challenging Roar,43334,254299,1,1,true,28,REQ_LEVEL_ABBR,20998,0,20998,0,false,0
Glyph of Challenging Roar,43334,254299,1,1,true,28,REQ_LEVEL_ABBR,20998,0,20998,0,false,0
Nerubian Legguards,38422,134634,1,2,false,68,REQ_LEVEL_ABBR,104500,0,110000,0,false,0
Nerubian Legguards,38422,134634,1,2,false,68,REQ_LEVEL_ABBR,104500,0,110000,0,false,0
Vizier Hood of the Physician,36055,133107,1,2,false,79,REQ_LEVEL_ABBR,142500,0,150000,0,false,0
Recipe: Spotted Yellowtail,13939,134939,1,1,true,1,REQ_LEVEL_ABBR,46000,0,60000,0,false,0
Dense Sharpening Stone,12404,135252,10,1,true,35,REQ_LEVEL_ABBR,9215,0,9700,0,false,0
Dense Sharpening Stone,12404,135252,10,1,true,35,REQ_LEVEL_ABBR,9215,0,9700,0,false,0
Dense Sharpening Stone,12404,135252,10,1,true,35,REQ_LEVEL_ABBR,9215,0,9700,0,false,0
Dense Sharpening Stone,12404,135252,10,1,true,35,REQ_LEVEL_ABBR,9215,0,9700,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,4930,0,27110100,0,false,0
Lesser Mana Potion,3385,134851,1,1,true,14,REQ_LEVEL_ABBR,969,0,1019,0,false,0
Lesser Mana Potion,3385,134851,1,1,true,14,REQ_LEVEL_ABBR,969,0,1019,0,false,0
